DATE,real_pc_y,real_pc_cm,real_pc_xall,real_pc_xmarket,real_pc_xhome,pc_hours,productivity,real_pc_kall,real_pc_kmarket,real_pc_khome,solow_residual,relative_price_investment,tau_k,tau_n,return_business_capital_pre_tax,return_business_capital_pre_tax_no_gain,return_business_capital_after_tax,return_business_capital_after_tax_no_gain,return_business_capital_pre_tax_adj,return_business_capital_pre_tax_no_gain_adj,return_business_capital_after_tax_adj,return_business_capital_after_tax_no_gain_adj,return_all_capital_pre_tax,return_all_capital_pre_tax_no_gain,return_all_capital_after_tax,return_all_capital_after_tax_no_gain,return_housing_capital_pre_tax,return_housing_capital_pre_tax_no_gain,return_housing_capital_after_tax,return_housing_capital_after_tax_no_gain
1955-10-01,28.130587272226478,12.928961883849814,7.707183627495976,3.0174800272476174,4.689703600248358,0.8026101984626803,35.04887842953878,71.21773842292745,30.3772790334893,40.84045938943815,34.25882818862722,2.1067296184254567,0.4310509006566531,0.15451861619766172,21.139933017878377,13.45694423272452,14.880770562487378,7.499884179332272,20.64142339919264,12.982352389718589,14.608029052989435,7.240397389574427,16.529419873544594,9.068576136380567,12.854658329441481,5.572423390373449,10.875606673789129,3.690153043164557,10.324942425290962,3.1664931415040787
1956-01-01,28.072387200975243,13.01906589568887,7.528813496756431,3.0250636118475045,4.5037498849089275,0.8053600895523638,34.856938610626294,72.38621427099046,31.130412606799048,41.255801664191424,33.69802258813851,2.154405854597151,0.43148037304656595,0.1581861796858552,22.936754820916548,12.704077424367544,16.934209337643736,7.082598838078447,22.45669195256863,12.25432083249791,16.671177244961587,6.836373029540921,18.607664312232618,8.649344729826591,15.061097999709094,5.329371821651163,13.276417058313683,3.659360084751895,12.715098153227732,3.1341980809608927
1956-04-01,28.213545905232557,13.03207161155237,7.562542460576969,3.071471752664324,4.4910707079126455,0.802372360847264,35.16265923646784,73.3290375131696,31.709012332488065,41.62002518068152,33.70197257442313,2.159873264224873,0.4386045986532233,0.15889517289680707,13.450190048919918,12.338417866762196,7.864465284986322,6.794054877286682,13.007886644751231,11.899370859888702,7.625233763086969,6.556606606150472,9.557945871961548,8.474940163467902,6.238010996948562,5.1797438859631395,4.705378322771492,3.658596519077828,4.175491270153797,3.1326900884573794
1956-07-01,28.222466067384833,13.077981678523628,7.547912843729809,3.1432275221181127,4.404685321611696,0.794304670012074,35.531033787017556,74.1884040538733,32.27591125588274,41.912492797990566,33.785439538765424,2.1944921042211196,0.42089107674912907,0.15907999376965964,19.11792602373279,11.974280530158055,13.707495759231003,6.8104715039005725,18.67189802746607,11.548477771549148,13.457901678941697,6.572323364756527,15.276449039885787,8.307616254796812,12.025619550591493,5.205843510931296,10.417796446497253,3.6721346351635598,9.865119050157922,3.1449946607430723
1956-10-01,28.617963287391536,13.184494666292524,7.624036573491619,3.1566724385875684,4.4673641349040505,0.8021836403684623,35.67507718587556,74.95382328888849,32.867858883876586,42.08596440501191,33.86399717041952,2.2138699536826008,0.4328644391653277,0.15940828051040523,15.844627079153728,11.950681586054923,10.408839548371663,6.653331347037161,15.404066182037823,11.521279888403924,10.167680781733978,6.418352972444419,12.123274468368272,8.323924788340697,8.852145684681535,5.136591564490933,7.382010159590058,3.704318723192168,6.836643549277754,3.1730303926416736
1957-01-01,28.853977703266104,13.19880181391143,7.652891380081568,3.1905216674794,4.462369712602168,0.8005640496377556,36.042060240304494,75.74644593918516,33.4307682450805,42.315677694104664,34.05753662019159,2.2262612518854543,0.4331144819366243,0.1641286427323006,14.352066410073782,11.896339046509286,8.989221372494892,6.6206189732464615,13.913736694289236,11.465091728892919,8.74938367394973,6.384702259844244,10.722501938580775,8.32562640816401,7.479689904589604,5.135802041914128,6.0489836184283385,3.7285995165079022,5.504519261243712,3.19310033678577
1957-04-01,28.74523606635473,13.23700185438056,7.543423891054258,3.175837822782701,4.367586068271557,0.7925476417103289,36.26941088906922,76.20184544317024,33.70805970918822,42.49378573398203,33.96289315556912,2.2282167053808273,0.4303211882572683,0.16421893247248806,11.765367833631402,11.383946264232536,6.740729031827186,6.372247271027542,11.34821543390714,10.967862531044382,6.511008422095177,6.143121845654531,8.456143416227025,8.083227233496327,5.387688346271546,5.022716820807616,4.141560010806611,3.7798313245691606,3.596464647854769,3.2361575237432882
1957-07-01,28.78833212804095,13.31820674547662,7.499768027099507,3.220836796598644,4.278931230500863,0.7855301984437719,36.64828186755141,76.4326676200632,33.92003090481549,42.5126367152477,34.222888904183904,2.2202799658340013,0.4293236758877817,0.16337447016349674,9.520314246643569,11.053635911668103,4.718752506551915,6.201462300489791,9.115345121467433,10.644419934044102,4.495156442485282,5.975495361167904,6.42330676472993,7.924049114487874,3.474966819635772,4.944472067070826,2.358204255919083,3.8158195247763205,1.81803502694744,3.2698875402266347
1957-10-01,28.211034586022336,13.297085553225775,7.349523223590671,3.1375381487685985,4.211985074822072,0.7679898521541215,36.73360332417634,76.54832208180311,34.13845284715322,42.40986923464989,33.90768628886499,2.228551220619385,0.42858823053594636,0.16290877491672084,11.822186985614325,10.210580700389116,7.305636302969587,5.7431889181774665,11.437497301826793,9.830058515546035,7.092396743195972,5.532282891855678,9.071769892217162,7.490039393999415,6.263715990224039,4.712681615397574,5.423232064368944,3.8814245213531384,4.862859608749859,3.327214013423907
1958-01-01,27.293097388796895,13.164353691196881,6.794357709726414,2.8387937813402404,3.955563928386174,0.7469958012538293,36.53714966400821,76.53829031952785,34.2663187094242,42.27197161010365,33.13191348757617,2.1845792128540737,0.41910761960467885,0.16131455896089839,1.0626845581117594,9.255914965124724,-2.6658664972371238,5.301807496454791,0.734971476224322,8.908463153812951,-2.8510336443852924,5.1053819503873,-1.090178772392858,6.973079491305878,-3.4405729753372416,4.479961367214025,-3.968330822552568,3.920035084323059,-4.488824460051477,3.3677716113904133
1958-04-01,27.406335191870856,13.295791622098987,6.612541697032514,2.7184476119472802,3.8940940850852326,0.7305462885170197,37.51485104045171,76.33849195861904,34.20998418542479,42.128507773194244,34.01443041521862,2.1929049476531075,0.4171358565873712,0.15946264374618882,11.00542780845446,9.36595803256628,6.977104917526544,5.382544737595274,10.648579420057658,9.013071368672666,6.774697283473485,5.182404639107263,8.69982343415785,7.086006941543133,6.147517869182928,4.562258211681813,5.586681831340012,4.0077199771586525,5.014062272004893,3.4415391439365006
